record_id,timestamp,intersection_id,intersection_name_simulated,intersection_type,lane,estimated_vehicle_class,speed_limit_kmh,speed_kmh,radial_speed_kmh,speed_excess_kmh,speeding_flag,severe_speeding_flag,range_m,direction_deg,longitudinal_accel_m_s2,traffic_density_veh_min,occupancy_pct,signal_state,near_conflict_flag,risk_score_0_10,risk_level,potential_high_risk_event,accidents_12m,fatalities_12m,injuries_12m,serious_injuries_12m
RAD-007869,2026-08-24 00:00:10,INT008,Calle_33_Carrera_76,No_semaforizada,3,Automovil,50,56.3,52.8,6.3,1,0,31.4,230.2,1.57,9.3,23.0,No_aplica,0,6.3,Medio,0,5,2,13,2
RAD-008783,2026-08-24 00:01:17,INT011,Carrera_70_Calle_48,Zona_residencial,2,Automovil,30,51.9,37.8,21.9,1,1,29.6,250.2,2.01,8.3,27.3,No_aplica,0,10.0,Critico,1,6,2,19,3
RAD-012859,2026-08-24 00:04:21,INT003,Av_El_Poblado_Calle_10,Semaforizada,2,Camioneta,50,55.5,-43.8,5.5,1,0,104.9,271.2,0.04,10.5,34.3,Verde,0,6.08,Medio,0,7,2,18,3
RAD-008200,2026-08-24 00:05:30,INT006,Av_Las_Vegas_Calle_10,Glorieta,1,Automovil,50,38.9,35.0,0.0,0,0,24.1,61.9,-2.63,9.7,35.5,No_aplica,0,4.76,Medio,0,3,1,7,1
RAD-020887,2026-08-24 00:08:07,INT005,Av_80_Calle_30,No_semaforizada,1,Bus,50,67.5,-48.6,17.5,1,1,33.6,239.3,-1.34,12.2,28.9,No_aplica,1,7.11,Alto,1,4,1,9,1
RAD-006182,2026-08-24 00:11:04,INT007,Carrera_65_Calle_30,Semaforizada,2,Motocicleta,50,48.3,36.2,0.0,0,0,42.9,233.9,-0.47,11.0,29.4,Verde,0,4.99,Medio,0,6,2,15,2
RAD-004286,2026-08-24 00:11:32,INT005,Av_80_Calle_30,No_semaforizada,3,Automovil,50,51.6,-45.8,1.6,1,0,27.2,318.8,1.36,12.3,31.0,No_aplica,0,3.67,Medio,0,4,1,9,1
RAD-015065,2026-08-24 00:15:14,INT006,Av_Las_Vegas_Calle_10,Glorieta,1,Automovil,50,59.0,46.1,9.0,1,0,66.4,330.4,-3.76,12.0,39.9,No_aplica,0,5.13,Medio,0,3,1,7,1
RAD-021583,2026-08-24 00:15:34,INT004,Av_Oriental_Calle_52,Semaforizada,4,Automovil,50,64.1,60.6,14.1,1,0,79.7,81.0,1.17,6.0,21.0,Verde,1,9.46,Critico,1,8,3,21,4
RAD-011669,2026-08-24 00:15:40,INT011,Carrera_70_Calle_48,Zona_residencial,3,Bus,30,26.5,24.0,0.0,0,0,110.2,6.9,-0.97,10.4,23.7,No_aplica,1,7.42,Alto,1,6,2,19,3
