id_reporte,id_sensor,num_reporte,id_cruce,direccion,latitud,longitud,nombre_comuna,limite_velocidad,velocidad,exceso_velocidad
1,S-402,1,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,68,True
2,S-402,2,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,58,True
3,S-402,3,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,44,False
4,S-402,4,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,72,True
5,S-402,5,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,37,False
6,S-402,6,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,50,False
7,S-402,7,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,68,True
8,S-402,8,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,48,False
9,S-402,9,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,52,True
10,S-402,10,402,CR 65  CL 20,6.2227225,-75.58435269,GUAYABAL,50,40,False
11,S-403,1,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,40,False
12,S-403,2,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,53,True
13,S-403,3,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,65,True
14,S-403,4,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,69,True
15,S-403,5,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,53,True
16,S-403,6,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,32,False
17,S-403,7,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,51,True
18,S-403,8,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,31,False
19,S-403,9,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,53,True
20,S-403,10,403,CR 65  CL 25,6.2266153,-75.58356855,GUAYABAL,50,73,True
21,S-404,1,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,59,True
22,S-404,2,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,67,True
23,S-404,3,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,31,False
24,S-404,4,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,50,False
25,S-404,5,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,62,True
26,S-404,6,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,41,False
27,S-404,7,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,51,True
28,S-404,8,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,73,True
29,S-404,9,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,54,True
30,S-404,10,404,CR 65  CL 30Cost NORTE,6.23203742,-75.58277629,BELEN,50,78,True
31,S-412,1,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,56,True
32,S-412,2,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,71,True
33,S-412,3,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,57,True
34,S-412,4,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,45,False
35,S-412,5,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,44,False
36,S-412,6,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,76,True
37,S-412,7,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,80,True
38,S-412,8,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,73,True
39,S-412,9,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,32,False
40,S-412,10,412,CR 65  CL 47 D,6.2527152,-75.58255718,LAURELES,50,66,True
